"","X","county","county_name","county_pop","per_police_white_cl","per_police_asian_cl","per_police_hisp_cl","per_police_black_cl","per_subject_white_cl","per_subject_asian_cl","per_subject_hisp_cl","per_subject_black_cl","per_officers_injured_cl","per_subjects_injured_cl","pct_complaince_hold_cl","pct_hands_fists_cl","pct_pepper_spray_cl","pct_baton_cl","pct_leg_strikes_cl","pct_take_down_cl","pct_deadly_force_cl","pct_resisted_police_cl","pct_physical_attack_cl","pct_knife_attack_cl","pct_blunt_attack_cl","pct_gun_threat_cl","pct_gun_fire_cl","pct_car_attack_cl","total_rows_cl","ratio_rows_pop_cl","total_incidents_cl","ratio_inc_pop_cl","total_arrests_cl","ratio_arr_pop_cl","total_population","per_citizen_white_cl","per_citizen_black_cl","per_citizen_asian_cl","per_citizen_hisp_cl"
"1",1,"monmouth"," Monmouth County",512264,75.4081696034782,0.664718294646807,1.70011600505089,2.36401356722323,75.576530599931,0.742720857002557,2.49304821687283,19.7768328794987,8.54971053512394,18.3308760935413,92.6144193020465,21.9389140341181,5.49535486866952,0.772803480191727,2.061651841383,3.12084405830199,0.0335816577402648,92.072662912619,34.6324161795493,0.875198380330209,1.14496537377513,0.27476039660525,0.0335816577402648,0.770349887659377,1033,0.00201653834741461,17610,0.034376805709556,17610,0.034376805709556,643615,0.757741897718356,0.0608726651802708,0.055947987383762,0.125437449717611
"2",2,"atlantic"," Atlantic County",177737,79.7777227783586,1.92122722229996,2.12700569531688,7.58557472013315,56.1955287779889,0.631327581685732,4.01403114520817,35.0295492582241,8.22779216518555,20.6613256906733,83.3358680192373,31.2662267324157,4.83159928401795,1.91664536224461,7.21989031180231,4.89147280779779,0.6376828285369,91.8418441377714,40.8928695924313,0.514262496056994,0.808204915226306,1.01712027149989,0.224689096834942,0.829046630751565,590,0.00331951141293034,5958,0.033521438980066,5958,0.033521438980066,274534,0.583645697800637,0.142144081971632,0.0785570778118557,0.195653142415876
"3",3,"bergen"," Bergen County",903158,72.8867233748765,1.33916156173815,3.77989028181989,2.83901340670957,64.2540146380395,5.02663393659549,7.54452021021811,19.8337619521881,13.9224261637714,20.7105174651421,89.6151327556883,36.3323984915627,5.88588530886168,1.70234535015128,2.19725406421619,3.69727831538502,0.491925819300943,91.9282169027879,47.2246240847115,1.53920686985846,1.23346109689509,0.398184868553935,0.0159766808163356,1.40694126381935,798,0.000883566330586675,15824,0.0175207438787012,15824,0.0175207438787012,955732,0.568821548509415,0.0522207990315277,0.164791219818945,0.214166432640112
"4",4,"camden"," Camden County",415138,56.3233956903864,0.28855321324784,2.07067702429669,2.80423456654247,44.02249772918,1.12297958137551,9.07344379126318,42.7544101485603,9.87585181452236,20.1306404909016,78.79040312943,29.0289018989023,6.12505305501041,2.22166612568914,3.99939068410838,7.53758108149382,0.360961455601981,90.6824246892853,36.7456743022642,0.634813158871874,0.706368263134025,0.565132896630068,0.109081900264724,0.321989505563762,1260,0.0030351353044048,21368,0.0514720406226363,21368,0.0514720406226363,523485,0.574528690411378,0.181734633848152,0.061760544810262,0.181976130930208
"5",5,"cape may"," Cape May County",49052,94.7524377594536,0.0806062582607641,1.01070023172974,1.29943248570864,79.9285773290015,1.59219914087762,1.72772865738453,10.937198400854,12.5547660933914,29.2395493657464,88.6101208768205,41.3241460400989,9.06216947070484,0.275286753539387,5.59350026028674,4.23970549943678,0,94.8581367877126,50.6899509977518,0.69835625691458,2.07289615263041,0.25329228907753,0,0.555795063703193,240,0.00489276685965914,5158,0.105153714425508,5158,0.105153714425508,95263,0.877553503458846,0.0346997291708218,0.00939222888214732,0.0783545384881854
"6",6,"ocean"," Ocean County",554829,93.9180408226698,0.211621013901588,3.52815714566471,1.48629010158583,70.8731452048591,0.3413575196039,9.48301519350444,18.1454559067896,8.14120781063165,21.3070191898507,90.6817762950705,20.8113333899983,5.46358947048623,0.666793274012606,2.86115600676163,3.08770275006758,0.499469868997909,91.3603465568658,36.1252031814853,1.21233903320342,1.21215160207294,0.621234434673606,0.0397550656762714,0.198481388216189,1051,0.00189427733589989,11671,0.0210353099783897,11671,0.0210353099783897,637229,0.850414987390718,0.0276929497872821,0.0177994578087312,0.104092605013268
"7",7,"hudson"," Hudson County",724854,50.1920356000927,1.76443882838725,17.5083521900517,3.76410238920992,43.6921066488994,1.17260200387448,16.9132762719824,31.5210007462869,11.1612943318097,25.9141271489836,84.7713636181676,37.3045986812699,4.99186609726983,5.3075834619992,4.87124637322453,3.65251058002302,0.860867491924851,90.6085788505842,47.9840528953928,0.960541042411898,1.46940025265931,0.879387437111565,0.306974108010408,0.58518095946186,1011,0.00139476363515963,15885,0.0219147580064399,15885,0.0219147580064399,724854,0.326994558076523,0.0984772212059256,0.170265742894431,0.40426247782312
"8",8,"somerset"," Somerset County",229495,66.6814670394362,0.0831285794703283,0.0986355416636528,1.64822610627166,70.8906217817457,1.56149318773844,2.94599604687707,23.3541728804683,9.132038447386,14.136653997192,88.9811083717284,24.4497419132206,16.4477140759317,1.16111055155342,3.76545536970429,5.07874574324635,0.0725506002367459,92.89692989586,42.9182925209019,0.145257686218057,0.59670125942102,0.442113608931558,0,0.284927831437652,340,0.00148151375846968,4162,0.0181354713610318,4162,0.0181354713610318,345361,0.551328162415559,0.0882527022448974,0.194282468779046,0.166136666560498
"9",9,"essex"," Essex County",863728,45.2069234782877,0.713069545858767,16.2286755555822,22.9201875571705,22.6609959426919,1.06686080481545,9.07186090359573,63.9923429515035,9.25526217450302,20.770187721106,81.4714273808383,36.4799558668745,6.29599512498353,1.30895966232011,5.34207628585505,5.17661107695602,1.19403089657816,89.4786197022638,32.0551096672993,0.522266575262663,1.29789613388813,1.71167279376995,0.220552423242067,1.14828507730763,1537,0.00177949539669896,20679,0.0239415649371098,20679,0.0239415649371098,863728,0.326920952313691,0.375190313848804,0.0543522971352092,0.243536436702295
"10",10,"warren"," Warren County",49212,76.2746665223118,0,0,0,73.4463098288399,0,6.18931657606494,15.8659900324101,12.4061631807254,18.3278473382378,77.0429753511044,28.5156753910122,9.94311081553879,2.94101709588239,1.49190423585827,8.008507452801,0,90.1315169260646,41.7314345422517,4.20222709999512,2.43177938926766,0.367701959572767,0,0,32,0.000650247907014549,1251,0.02542062911485,1251,0.02542062911485,109632,0.811312597599241,0.0508391746935201,0.026328688704028,0.111519539003211
