"","","","","","Census Population","% African American","% Asian","% Hispanic"
"County","Municipality","DLGS Code","LD","CD","2020: Census Population","2020: % African American","2020: % Asian","2020: % Hispanic"
"Somerset","Somerville","1818","16","7","12346","9.73","11.61","25.21"
"Somerset","South Bound Brook","1819","23","12","4863","10.86","8.12","31.61"
"Somerset","Warren","1820","21","7","15923","1.74","20.4","7.26"
"Somerset","Watchung","1821","21","7","6449","4.79","15.52","8.05"
"Sussex","Andover","1901","24","5","595","2.86",".84","9.92"
"Sussex","Andover Twp","1902","24","5","5996","3.12","3.52","8.84"
"Sussex","Branchville","1903","24","5","791","1.01","2.15","6.7"
"Sussex","Byram","1904","24","11","8028","1.64","1.59","8.51"
"Sussex","Frankford","1905","24","5","5302",".79","1.41","5.6"
"Sussex","Franklin","1906","24","5","4912","2.2","1.59","13.46"
"Sussex","Fredon","1907","24","5","3235",".62","1.79","5.6"
"Sussex","Green","1908","24","5","3627","1.79","1.71","8.44"
"Sussex","Hamburg","1909","24","5","3266","3","2.88","9.74"
"Sussex","Hampton Twp","1910","24","5","4893",".53","1.61","5.46"
"Sussex","Hardyston","1911","24","5","8125","3","2.65","7.96"
"Sussex","Hopatcong","1912","24","11","14362","2.95","2.46","17.71"
"Sussex","Lafayette","1913","24","5","2358",".85",".55","6.96"
"Sussex","Montague","1914","24","5","3792","1.87","1.82","9.76"
"Sussex","Newton","1915","24","5","8374","5.16","3.49","16.28"
"Sussex","Ogdensburg","1916","24","11","2258",".89","1.24","11.74"
"Sussex","Sandyston","1917","24","5","1977",".46","1.57","5.11"
"Sussex","Sparta","1918","24","11","19600","1.58","3.16","8.01"
"Sussex","Stanhope","1919","24","11","3526","2.1","2.64","13.95"
"Sussex","Stillwater","1920","24","5","4004",".57",".95","5.04"
"Sussex","Sussex","1921","24","5","2024","2.32","1.28","14.03"
"Sussex","Vernon","1922","24","5","22358","1.48",".92","9.67"
"Sussex","Walpack","1923","24","5","7","0","0","28.57"
"Sussex","Wantage","1924","24","5","10811","1.41","1.17","7.29"
"Union","Berkeley Heights","2001","21","7","13285","1.82","15.54","8.58"
"Union","Clark","2002","22","7","15544","1.49","4.14","12.51"
"Union","Cranford","2003","21","7","23847","2.74","3.79","10.24"
"Union","Elizabeth","2004","20","8","137298","16.21","2.01","65.72"
"Union","Fanwood","2005","22","12","7774","4.97","9.17","9.38"
"Union","Garwood","2006","21","7","4454","1.55","2.67","15.04"
"Union","Hillside","2007","20","10","22456","50.44","2.22","23.11"
"Union","Kenilworth","2008","21","7","8427","2.6","5.16","22.94"
"Union","Linden","2009","22","10","43738","26.8","3.39","34.42"
"Union","Mountainside","2010","21","7","7020","1.91","6.64","9.5"
"Union","New Providence","2011","21","7","13650","1.77","15.9","9.16"
"Union","Plainfield","2012","22","12","54586","34.87",".92","54.58"
"Union","Rahway","2013","22","10","29556","30.09","5.49","30"
"Union","Roselle","2014","20","10","22695","47.59","2.56","34.81"
"Union","Roselle Park","2015","21","10","13967","8.49","9.1","37.9"
"Union","Scotch Plains","2016","22","7","24968","9.47","10.45","10.33"
"Union","Springfield","2017","21","7","17178","8.76","8.97","13.01"
"Union","Summit","2018","21","7","22719","3.94","10.44","14.58"
"Union","Union Twp","2019","20","7","59728","32.31","10.84","19.92"
"Union","Westfield","2020","21","7","31032","2.55","8.81","7.24"
"Union","Winfield","2021","22","7","1423",".98",".42","9.77"
"Warren","Allamuchy","2101","24","5","5335","4.25","3.39","8.72"
"Warren","Alpha","2102","23","7","2328","2.79","1.76","9.06"
"Warren","Belvidere","2103","24","5","2520","1.11",".79","7.86"
"Warren","Blairstown","2104","24","5","5704","1.17","1.3","5.82"
"Warren","Franklin Twp","2105","23","7","2968","1.82","3.1","5.86"
"Warren","Frelinghuysen","2106","24","5","2199","1.18",".5","5.64"
"Warren","Greenwich","2107","23","7","5473","8.66","7.6","9.98"
"Warren","Hackettstown","2108","23","5","10248","3.33","3.92","23.35"
"Warren","Hardwick","2109","24","5","1598",".75",".69","6.57"
"Warren","Harmony","2110","23","7","2503","1.16",".84","2.28"
"Warren","Hope","2111","24","5","1835",".44",".87","7.57"
"Warren","Independence","2112","24","5","5469","2.61","2.23","8.12"
"Warren","Knowlton","2113","24","5","2894",".76","1.28","6.81"
"Warren","Liberty","2114","24","5","2670","1.5","1.54","5.84"
"Warren","Lopatcong","2115","23","7","8776","8.14","5.01","9.15"
"Warren","Mansfield","2116","23","5","7781","5.24","3.23","14.82"
"Warren","Oxford","2117","24","5","2444","1.92",".98","7.61"
"Warren","Phillipsburg","2119","23","7","15249","12.51","1.44","16.74"
"Warren","Pohatcong","2120","23","7","3241","2.75","1.33","6.63"
"Warren","Washington","2121","23","5","7299","7.4","3.15","13.73"
"Warren","Washington Twp","2122","23","5","6492","3.67","2.36","8.21"
"Warren","White","2123","24","5","4606","2.04",".89","5.21"
